0.21,0.32
0.45,0.52
0.66,0.71
0.12,0.29
0.54,0.68
0.39,0.48
0.77,0.81
0.24,0.33
0.59,0.63
0.44,0.50
0.51,0.55
0.38,0.47
0.62,0.67
0.27,0.36
0.49,0.54
0.31,0.42
0.58,0.61
0.46,0.53
0.65,0.70
0.22,0.35
0.57,0.60
0.43,0.49
0.55,0.58
0.30,0.41
0.48,0.52
0.34,0.40
0.50,0.56
0.29,0.37
0.53,0.59
0.41,0.45
0.60,0.64
0.25,0.34
0.56,0.62
0.42,0.44
0.54,0.57
0.28,0.38
0.52,0.61
0.33,0.39
0.49,0.55
0.26,0.32
0.51,0.53
0.40,0.46
0.59,0.65
0.23,0.31
0.58,0.63
0.44,0.48
0.55,0.60
0.27,0.35
0.53,0.56
0.38,0.43
0.50,0.59
0.24,0.30
0.47,0.51
0.36,0.42
