0,1
0,3
0,5
1,2
1,4
2,6
3,4
3,7
4,8
5,6
5,9
6,10
7,8
7,11
8,12
9,10
9,13
10,14
11,12
11,15
12,16
13,14
13,17
14,18
15,16
15,19
16,20
17,18
17,21
18,22
19,20
19,23
20,24
21,22
21,25
22,26
23,24
23,27
24,28
25,26
25,29
26,30
27,28
27,31
28,32
29,30
29,33
30,34
31,32
31,35
32,36
33,34
33,37
34,38
35,36
35,39
36,40
37,38
37,41
38,42
39,40
39,43
40,44
41,42
41,45
42,46
43,44
43,47
44,48
45,46
45,49
46,50
47,48
47,51
48,52
2,9
4,13
6,17
8,21
10,25
12,29
14,33
16,37
18,41
20,45
22,49
24,51
5,0
9,3
13,7
17,11
21,15
25,19
29,23
33,27
37,31
41,35
45,39
49,43
52,48
1,5
2,7
3,9
4,11
5,13
6,15
7,17
8,19
9,21
10,23
11,25
12,27
13,29
14,31
15,33
16,35
17,37
18,39
19,41
20,43
21,45
22,47
23,49
24,51
